District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Hartford School District,M. D. Fox School,Public Schools,0640811,470 Maple Avenue,Hartford,06114-1215,860-695-7790,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"470 Maple Avenue
Hartford, CT 06114-1215
(41.746561, -72.680879)"
Colchester School District,Jack Jackter Intermediate School,Public Schools,0280211,215 Halls Hill Rd.,Colchester,06415-1433,860-537-9421,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"215 Halls Hill Rd.
Colchester, CT 06415-1433
(41.571655, -72.320476)"
Unified School District #1,Manson Youth Institution,State Agency Facilities,3361115,42 Jarvis St.,Cheshire,06410-1503,203-806-2570,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"42 Jarvis St.
Cheshire, CT 06410-1503
(41.526358, -72.902809)"
New Beginnings Inc Family Academy District,New Beginnings Inc Family Academy,Public Charter Schools,2800113,184 Garden St.,Bridgeport,06605,203-384-2897,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"184 Garden St.
Bridgeport, CT 06605
(41.16943, -73.198561)"
Shelton School District,Perry Hill Elementary School,Public Schools,1261111,60 Perry Hill Road,Shelton,06484,203-924-4002,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2010-09-01T00:00:00.000,0,"60 Perry Hill Road
Shelton, CT 06484
(41.313072, -73.100534)"
Bristol School District,Bristol Eastern High School,Public Schools,0176211,632 King St.,Bristol,06010-4477,860-584-7876,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"632 King St.
Bristol, CT 06010-4477
(41.685197, -72.925016)"
Middletown School District,Farm Hill School,Public Schools,0830511,390 Ridge Rd.,Middletown,06457-4437,860-346-1225,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"390 Ridge Rd.
Middletown, CT 06457-4437
(41.538274, -72.642091)"
Regional School District 16,Regional School District 16,Regional School Districts,2160012,30 Coer Road,Prospect,06712,203-758-6671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"30 Coer Road
Prospect, CT 06712
(41.498072, -72.974241)"
Hamden School District,Shepherd Glen School,Public Schools,0620111,1 Skiff St. Ext.,Hamden,06514-1845,203-407-2070,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1 Skiff St. Ext.
Hamden, CT 06514-1845
(41.376453, -72.920222)"
Connecticut Technical Education and Career System,Ella T. Grasso Technical High School,CT Technical Education and Career Schools,9002716,189 Fort Hill Rd.,Groton,06340-4803,860-448-0220,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"189 Fort Hill Rd.
Groton, CT 06340-4803
(41.347323, -72.020215)"
Stratford School District,Wilcoxson School,Public Schools,1381411,600 Wilcoxson Ave.,Stratford,06615-4238,203-385-4196,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"600 Wilcoxson Ave.
Stratford, CT 06615-4238
(41.207429, -73.122569)"
Wallingford School District,Cook Hill School,Public Schools,1481011,57 Hall Road,Wallingford,06492,203-284-5400,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"57 Hall Road
Wallingford, CT 06492
(41.458017, -72.858783)"
Groton School District,Northeast Academy Elementary School,Public Schools,0591911,115 Oslo Street,Mystic,06355,860-572-5852,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-01-07T00:00:00.000,0,"115 Oslo Street
Mystic, CT 06355
(41.381398, -71.985644)"
North Branford School District,North Branford School District,Public School Districts,0990011,1332 Middletown Avenue,Northford,06472,203-484-1440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1332 Middletown Avenue
Northford, CT 06472
(41.389387, -72.794917)"
Windsor School District,Poquonock Elementary School,Public Schools,1640511,1760 Poquonock Ave.,Windsor,06095-1227,860-687-2080,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1760 Poquonock Ave.
Windsor, CT 06095-1227
(41.903922, -72.679171)"
Ellington School District,Windermere School,Public Schools,0480611,2 Abbott Rd.,Ellington,06029-3800,860-896-2329,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"2 Abbott Rd.
Ellington, CT 06029-3800
(41.870644, -72.499003)"
Vernon School District,Lake Street School,Public Schools,1460111,201 Lake St.,Vernon,06066-6245,860-870-6085,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"201 Lake St.
Vernon, CT 06066-6245
(41.811394, -72.469261)"
Naugatuck School District,Hop Brook Elementary School,Public Schools,0880511,75 Crown Street,Naugatuck,06770,203-720-5231,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"75 Crown Street
Naugatuck, CT 06770
(41.501374, -73.054778)"
Regional School District 12,Booth Free School,Regional Schools,2120212,14 South St.,Roxbury,06783-1706,860-354-9391,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"14 South St.
Roxbury, CT 06783-1706
(41.554755, -73.308299)"
West Hartford School District,Braeburn School,Public Schools,1550211,45 Braeburn Rd.,West Hartford,06107-1605,860-561-2200,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"45 Braeburn Rd.
West Hartford, CT 06107-1605
(41.762827, -72.761038)"
Meriden School District,Nathan Hale School,Public Schools,0800711,277 Atkins St. Ext.,Meriden,06450-3408,203-237-7486,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"277 Atkins St. Ext.
Meriden, CT 06450-3408
(41.543085, -72.77485)"
East Lyme School District,Flanders School,Public Schools,0450111,167 Boston Post Rd.,East Lyme,06333,860-739-8475,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"167 Boston Post Rd.
East Lyme, CT 06333
(41.366192, -72.215493)"
Waterbury School District,Crosby High School,Public Schools,1516211,300 Pierpont Rd.,Waterbury,06705-3905,203-574-8061,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"300 Pierpont Rd.
Waterbury, CT 06705-3905
(41.54775, -72.974313)"
Andover School District,Andover School District,Public School Districts,0010011,35 School Road,Andover,06232,860-742-7339,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"35 School Road
Andover, CT 06232
(41.727913, -72.365927)"
Booker T. Washington Academy District,Booker T. Washington Academy,Public Charter Schools,2950113,804 State Street,New Haven,06511,203-691-6535,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2014-09-10T00:00:00.000,,"804 State Street
New Haven, CT 06511
(41.312332, -72.91482)"
Southington School District,Southington School District,Public School Districts,1310011,200 North Main Street,Southington,06489,860-628-3202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"200 North Main Street
Southington, CT 06489
(41.606331, -72.878033)"
New Haven School District,Barnard Environmental Magnet School,Public Schools,0930211,170 Derby Ave.,New Haven,06511,475-220-3500,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,1,"170 Derby Ave.
New Haven, CT 06511
(41.310211, -72.952456)"
Norwich School District,Norwich School District,Public School Districts,1040011,90 Town Street,Norwich,06360,860-823-4200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"90 Town Street
Norwich, CT 06360
(41.548729, -72.094948)"
Bristol School District,Bristol School District,Public School Districts,0170011,"129 Church Street, Box 450",Bristol,06011,860-584-7000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"129 Church Street, Box 450
Bristol, CT 06011
(41.669414, -72.945381)"
Regional School District 17,Regional School District 17,Regional School Districts,2170012,57 Little City Road,Higganum,06441,860-345-4534,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"57 Little City Road
Higganum, CT 06441
(41.464574, -72.56378)"
Middletown School District,Snow School,Public Schools,0831111,299 Wadsworth St.,Middletown,06457-4019,860-347-2579,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"299 Wadsworth St.
Middletown, CT 06457-4019
(41.542609, -72.670823)"
Hamden School District,Ridge Hill School,Public Schools,0621111,120 Carew Rd.,Hamden,06517-2906,203-407-2035,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"120 Carew Rd.
Hamden, CT 06517-2906
(41.346733, -72.897514)"
Department of Mental Health and Addiction Services,Connecticut Valley Hospital,State Agency Facilities,3370215,1000 Silver St.,Middletown,06457,860-262-7009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0,"1000 Silver St.
Middletown, CT 06457
(41.553972, -72.629494)"
Hebron School District,Hebron School District,Public School Districts,0670011,580 Gilead Street,Hebron,06248,860-228-2577,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"580 Gilead Street
Hebron, CT 06248
(41.675253, -72.409536)"
West Hartford School District,Hall High School,Public Schools,1556211,975 North Main St.,West Hartford,06117-2057,860-232-4561,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"975 North Main St.
West Hartford, CT 06117-2057
(41.794906, -72.747177)"
Danbury School District,Ellsworth Avenue School,Public Schools,0341411,53 Ellsworth Ave,Danbury,06810,203-797-4740,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"53 Ellsworth Ave
Danbury, CT 06810
(41.40389, -73.449835)"
Judicial Centers,Judicial Centers,State Agencies,3480015,936 Silas Deane Hwy.,Wethersfield,06109,860-721-2158,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2009-05-14T00:00:00.000,0,"936 Silas Deane Hwy.
Wethersfield, CT 06109
(41.697492, -72.658142)"
Naugatuck School District,Naugatuck High School,Public Schools,0886111,543 Rubber Ave.,Naugatuck,06770-2887,203-720-5400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"543 Rubber Ave.
Naugatuck, CT 06770-2887
(41.4909, -73.074392)"
Jumoke Academy District,Jumoke Academy,Public Charter Schools,2610113,999 Asylum Ave. Suite 200,Hartford,06105,860-527-0575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997-07-01T00:00:00.000,0,"999 Asylum Ave. Suite 200
Hartford, CT 06105
(41.771468, -72.697715)"
New Haven School District,East Rock Community Magnet School,Public Schools,0934611,133 Nash St.,New Haven,06511,475-220-5900,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"133 Nash St.
New Haven, CT 06511
(41.319713, -72.907693)"
Shelton School District,Shelton High School,Public Schools,1266111,120 Meadow St.,Shelton,06484-2276,203-922-3004,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"120 Meadow St.
Shelton, CT 06484-2276
(41.320713, -73.116296)"
Canton School District,Canton School District,Public School Districts,0230011,4 Market Street,Collinsville,06022,860-693-7704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"4 Market Street
Collinsville, CT 06022
(41.810872, -72.922297)"
Orange School District,Race Brook School,Public Schools,1070311,107 Grannis Rd.,Orange,06477-1911,203-891-8030,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"107 Grannis Rd.
Orange, CT 06477-1911
(41.291529, -73.005296)"
Ridgefield School District,Scotland Elementary School,Public Schools,1180511,111 Barlow Mountain Rd.,Ridgefield,06877-1902,203-894-5825,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"111 Barlow Mountain Rd.
Ridgefield, CT 06877-1902
(41.323782, -73.510402)"
East Hartford School District,Governor William Pitkin School,Public Schools,0432011,330 Hills St.,East Hartford,06118-2910,860-622-5480,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"330 Hills St.
East Hartford, CT 06118-2910
(41.742079, -72.590237)"
Fairfield School District,Osborn Hill School,Public Schools,0511811,760 Stillson Rd.,Fairfield,06824,203-255-8340,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"760 Stillson Rd.
Fairfield, CT 06824
(41.176499, -73.256232)"
Regional School District 07,Northwestern Regional High School,Regional Schools,2076112,100 Battistoni Dr.,Winsted,06098-1899,860-379-8525,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"100 Battistoni Dr.
Winsted, CT 06098-1899
(41.912429, -73.048473)"
Westport School District,Coleytown Elementary School,Public Schools,1580311,65 Easton Rd.,Westport,06880,203-341-1710,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"65 Easton Rd.
Westport, CT 06880
(41.175633, -73.348313)"
Greenwich School District,Cos Cob School,Public Schools,0570211,300 East Putnam Ave.,Cos Cob,06807-2545,203-869-4670,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"300 East Putnam Ave.
Cos Cob, CT 06807-2545
(41.039059, -73.597323)"
Salem School District,Salem School District,Public School Districts,1210011,200 Hartford Road,Salem,06420,860-892-1223,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"200 Hartford Road
Salem, CT 06420
(41.4881, -72.274896)"
Regional School District 09,Joel Barlow High School,Regional Schools,2096112,100 Black Rock Tpke.,Redding,06896-3099,203-938-2508,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"100 Black Rock Tpke.
Redding, CT 06896-3099
(41.298199, -73.344377)"
Scotland School District,Scotland Elementary School,Public Schools,1230111,68 Brook Rd.,Scotland,06264-0097,860-423-0064,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,
Ansonia School District,Ansonia Middle School,Public Schools,0025111,115 Howard Ave.,Ansonia,06401,203-736-5070,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"115 Howard Ave.
Ansonia, CT 06401
(41.341368, -73.083897)"
Torrington School District,East School,Public Schools,1430111,215 Hogan Dr.,Torrington,06790-4109,860-489-2303,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"215 Hogan Dr.
Torrington, CT 06790-4109
(41.808588, -73.090285)"
Department of Mental Health and Addiction Services,River Valley Services,State Agency Facilities,3370815,"Leak Hall, Silver Street, P.O. Box 351",Middletown,06457,860-262-7009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0,
Manchester School District,Verplanck School,Public Schools,0771211,126 Olcott St.,Manchester,06040-2632,860-647-3383,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"126 Olcott St.
Manchester, CT 06040-2632
(41.773691, -72.553602)"
Ellington School District,Center School,Public Schools,0480111,49 Main St.,Ellington,06029,860-896-2315,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"49 Main St.
Ellington, CT 06029
(41.90338, -72.466596)"
Cooperative Educational Services,Cooperative Educational Services,Regional Education Service Center School Districts,2430014,40 Lindeman Drive,Trumbull,06611,203-365-8803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"40 Lindeman Drive
Trumbull, CT 06611
(41.231912, -73.19984)"
Hartford School District,Burr School,Public Schools,0642311,400 Wethersfield Avenue,Hartford,06114-1414,860-695-3080,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"400 Wethersfield Avenue
Hartford, CT 06114-1414
(41.744899, -72.67309)"
Torrington School District,Torrington Middle School,Public Schools,1435111,200 Middle School Rd.,Torrington,06790-3168,860-496-4050,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"200 Middle School Rd.
Torrington, CT 06790-3168
(41.832916, -73.070335)"
Madison School District,Dr. Robert H. Brown Middle School,Public Schools,0760611,980 Durham Rd.,Madison,06443-1843,203-245-6400,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2004-07-01T00:00:00.000,0,"980 Durham Rd.
Madison, CT 06443-1843
(41.339183, -72.628366)"
Norwalk School District,Fox Run Elementary School,Public Schools,1032011,228 Fillow Street,Norwalk,06850-2719,203-899-2860,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"228 Fillow Street
Norwalk, CT 06850-2719
(41.115337, -73.453344)"
Montville School District,Dr. Charles E. Murphy School,Public Schools,0860711,500 Chesterfield Rd.,Oakdale,06370-1816,860-848-9241,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"500 Chesterfield Rd.
Oakdale, CT 06370-1816
(41.447806, -72.197499)"
New Milford School District,Northville Elementary School,Public Schools,0960811,22 Hipp Rd.,New Milford,06776-2221,860-355-3713,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"22 Hipp Rd.
New Milford, CT 06776-2221
(41.619538, -73.39444)"
Fairfield School District,McKinley School,Public Schools,0510611,60 Thompson St.,Fairfield,06825,203-255-8318,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"60 Thompson St.
Fairfield, CT 06825
(41.179306, -73.236194)"
Old Saybrook School District,Old Saybrook School District,Public School Districts,1060011,50 Sheffield Street,Old Saybrook,06475,860-395-3157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"50 Sheffield Street
Old Saybrook, CT 06475
(41.290462, -72.373106)"
East Haddam School District,East Haddam Elementary School,Public Schools,0410111,45 Joe Williams Rd.,Moodus,06469-0425,860-873-5076,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-01-02T00:00:00.000,0,"45 Joe Williams Rd.
Moodus, CT 06469-0425
(41.498759, -72.440051)"
Newington School District,Anna Reynolds School,Public Schools,0940611,85 Reservoir Rd.,Newington,06111-1025,860-521-7830,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"85 Reservoir Rd.
Newington, CT 06111-1025
(41.716004, -72.746095)"
Wolcott School District,Wolcott School District,Public School Districts,1660011,1488 Woodtick Road,Wolcott,06716,203-879-8183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1488 Woodtick Road
Wolcott, CT 06716
(41.6129, -72.960086)"
Thomaston School District,Thomaston Center School,Public Schools,1400211,1 Thomas Ave.,Thomaston,06787-1502,860-283-3036,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"1 Thomas Ave.
Thomaston, CT 06787-1502
(41.67381, -73.07462)"
Achievement First Hartford Academy District,Achievement First Hartford Academy Inc.,Public Charter Schools,2880113,305 Greenfield Street,Hartford,06112,860-695-6685,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2008-08-26T00:00:00.000,0,"305 Greenfield Street
Hartford, CT 06112
(41.784608, -72.697162)"
Avon School District,Roaring Brook School,Public Schools,0040311,30 Old Wheeler Ln.,Avon,06001-4061,860-404-4810,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"30 Old Wheeler Ln.
Avon, CT 06001-4061
(41.791866, -72.89051)"
Regional School District 10,Lewis S. Mills High School,Regional Schools,2106112,26 Lyon Rd.,Burlington,06013-1313,860-673-0423,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"26 Lyon Rd.
Burlington, CT 06013-1313
(41.781138, -72.9894)"
Hartford School District,"Breakthrough Magnet School, South",Public Schools,0643311,290 Brookfield Street,Hartford,06106,860-695-5700,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,1,"290 Brookfield Street
Hartford, CT 06106
(41.746341, -72.70739)"
Hartford School District,Expeditionary Learning Academy at Moylan School,Public Schools,0643211,101 Catherine Street,Hartford,06106,860-695-4500,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0,"101 Catherine Street
Hartford, CT 06106
(41.746325, -72.69866)"
Bridgeport School District,Columbus School,Public Schools,0150511,300 University Avenue,Bridgeport,06604-3320,203-275-2100,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"300 University Avenue
Bridgeport, CT 06604-3320
(41.165672, -73.190301)"
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Regional Education Service Center Schools,2416114,1551 Blue Hills Ave.,Bloomfield,06002,860-242-7834,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,1,"1551 Blue Hills Ave.
Bloomfield, CT 06002
(41.872803, -72.726435)"
New Britain School District,Smith Elementary School,Public Schools,0891311,142 Rutherford St.,New Britain,06051-3299,860-223-1574,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"142 Rutherford St.
New Britain, CT 06051-3299
(41.661177, -72.758475)"
New Hartford School District,New Hartford School District,Public School Districts,0920011,"530 Main Street, Box 315",New Hartford,06057,860-379-8546,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"530 Main Street, Box 315
New Hartford, CT 06057
(41.879009, -72.979939)"
Colebrook School District,Colebrook School District,Public School Districts,0290011,"Box 9, 452 Smith Hill Roa",Colebrook,06021,860-379-2179,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,
Milford School District,Jonathan Law High School,Public Schools,0846211,20 Lansdale Ave.,Milford,06460-5199,203-783-3574,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"20 Lansdale Ave.
Milford, CT 06460-5199
(41.203849, -73.087652)"
Side By Side Charter School District,Side By Side Charter School,Public Charter Schools,2700113,10 Chestnut St.,Norwalk,06854,203-857-0306,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"10 Chestnut St.
Norwalk, CT 06854
(41.095752, -73.420277)"
South Windsor School District,South Windsor High School,Public Schools,1326211,161 Nevers Rd.,South Windsor,06074-2129,860-648-5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"161 Nevers Rd.
South Windsor, CT 06074-2129
(41.843196, -72.551698)"
Portland School District,Portland High School,Public Schools,1136111,95 High Street,Portland,06480,860-342-1720,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"95 High Street
Portland, CT 06480
(41.577608, -72.626662)"
Meriden School District,Lincoln Middle School,Public Schools,0805211,164 Centennial Ave.,Meriden,06450-3707,203-238-2381,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"164 Centennial Ave.
Meriden, CT 06450-3707
(41.537021, -72.825522)"
Connecticut Technical Education and Career System,W. F. Kaynor Technical High School,CT Technical Education and Career Schools,9002316,43 Tompkins St.,Waterbury,06708-1416,203-596-4302,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"43 Tompkins St.
Waterbury, CT 06708-1416
(41.575028, -73.064564)"
Stamford School District,Westover School,Public Schools,1351411,412 Stillwater Ave.,Stamford,06902,203-977-4572,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"412 Stillwater Ave.
Stamford, CT 06902
(41.057227, -73.559323)"
Plainville School District,Linden Street School,Public Schools,1100211,69 Linden St.,Plainville,06062-2352,860-793-3270,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"69 Linden St.
Plainville, CT 06062-2352
(41.66855, -72.857267)"
Seymour School District,Seymour School District,Public School Districts,1240011,"98 Bank Street, Annex Building",Seymour,06483,203-888-4564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"98 Bank Street, Annex Building
Seymour, CT 06483
(41.351316, -72.390555)"
